co2 0 186
co2 200 754
co2 400 1417
co2 600 2071
co2 800 2717
co2 1000 3353
co2 1200 3985
co2 1400 4613
co2 1600 5242
co2 1800 5867
co2 2000 6493
co2 2200 7118
co2 2400 7735
co2 2600 8354
co2 2800 8981
co2 3000 9600
no2 0 9600
no2 24000 8034
no2 48000 6764
no2 72000 5752
no2 96000 4893
no2 120000 4160
no2 144000 3549
no2 168000 3027
no2 192000 2593
no2 216000 2234
no2 240000 1936
no2 264000 1689
no2 272000 1293
no2 280000 987
no2 288000 750
no2 296000 569
no2 304000 431
no2 312000 328
no2 320000 249
